City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
ALBURY,SYDNEY,Dec-18,18020,445,71.9,452,8145040,11332544,25072,2018,12
ADELAIDE,ALICE SPRINGS,Dec-18,10424,115,65.9,1316,13717984,20812540,15815,2018,12
ADELAIDE,BRISBANE,Dec-18,74053,550,82.9,1622,120113966,144959762,89371,2018,12
ADELAIDE,CANBERRA,Dec-18,14962,134,68.4,972,14543064,21276108,21889,2018,12
ADELAIDE,MELBOURNE,Dec-18,209912,1526,83,643,134915876,162631767,253029,2018,12
ADELAIDE,GOLD COAST,Dec-18,19312,136,79.4,1607,31034384,39098310,24330,2018,12
ADELAIDE,PERTH,Dec-18,56316,475,80.3,2120,119389920,148747680,70164,2018,12
ADELAIDE,PORT LINCOLN,Dec-18,14665,603,62.1,246,3607590,5807814,23609,2018,12
ADELAIDE,SYDNEY,Dec-18,162980,1149,85.5,1167,190197660,222566739,190717,2018,12
ARMIDALE,SYDNEY,Dec-18,9491,325,69.8,382,3625562,5192908,13594,2018,12
ALICE SPRINGS,DARWIN,Dec-18,6517,115,46.9,1305,8504685,18130365,13893,2018,12
ALICE SPRINGS,MELBOURNE,Dec-18,0,0,0,1860,0,0,0,2018,12
ALICE SPRINGS,SYDNEY,Dec-18,0,0,0,2022,0,0,0,2018,12
AYERS ROCK,SYDNEY,Dec-18,12640,112,63.7,2181,27567840,43244868,19828,2018,12
BUNDABERG,BRISBANE,Dec-18,12927,297,67.1,287,3710049,5532786,19278,2018,12
BROOME,PERTH,Dec-18,24246,292,72.5,1677,40660542,56062110,33430,2018,12
BRISBANE,CANBERRA,Dec-18,51913,509,75.7,956,49628828,65545272,68562,2018,12
BRISBANE,CAIRNS,Dec-18,108615,842,85.1,1391,151083465,177534721,127631,2018,12
BRISBANE,DARWIN,Dec-18,29860,248,71.7,2852,85160720,118725908,41629,2018,12
BRISBANE,EMERALD,Dec-18,14702,336,64.9,653,9600406,14789144,22648,2018,12
BRISBANE,GLADSTONE,Dec-18,20022,390,67.6,434,8689548,12855080,29620,2018,12
BRISBANE,HOBART,Dec-18,25259,175,81,1791,45238869,55825470,31170,2018,12
BRISBANE,HAMILTON ISLAND,Dec-18,11631,124,74.3,888,10328328,13891872,15644,2018,12
BRISBANE,MOUNT ISA,Dec-18,9925,141,63.6,1573,15612025,24529362,15594,2018,12
BRISBANE,MELBOURNE,Dec-18,302663,2193,82.2,1381,417977603,508500772,368212,2018,12
BRISBANE,MACKAY,Dec-18,62609,604,78.4,797,49899373,63673924,79892,2018,12
BRISBANE,MORANBAH,Dec-18,0,0,0,780,0,0,0,2018,12
BRISBANE,NEWCASTLE,Dec-18,49729,500,74.5,614,30474048,40896084,66780,2018,12
BRISBANE,PERTH,Dec-18,82425,522,85.2,3615,297966375,349570500,96700,2018,12
BRISBANE,PROSERPINE,Dec-18,22043,172,72.9,895,19728485,27064800,30240,2018,12
BRISBANE,ROCKHAMPTON,Dec-18,42310,647,76.4,518,21916580,28688912,55384,2018,12
BRISBANE,SYDNEY,Dec-18,407240,2873,86.7,753,306724761,353884398,469792,2018,12
BRISBANE,TOWNSVILLE,Dec-18,81659,675,81.3,1112,90804808,111715968,100464,2018,12
CANBERRA,MELBOURNE,Dec-18,90536,845,68.8,470,42551920,61874090,131647,2018,12
CANBERRA,SYDNEY,Dec-18,65262,1179,74.6,236,15401832,20653776,87516,2018,12
COFFS HARBOUR,SYDNEY,Dec-18,27934,396,75.4,443,12374762,16416251,37057,2018,12
CAIRNS,MELBOURNE,Dec-18,73363,465,82.1,2311,169541893,206487850,89350,2018,12
CAIRNS,SYDNEY,Dec-18,96462,606,83.3,1971,190126602,228182670,115770,2018,12
CAIRNS,TOWNSVILLE,Dec-18,10795,303,53.7,284,3065780,5706128,20092,2018,12
DUBBO,SYDNEY,Dec-18,13701,421,69.1,310,4247310,6150710,19841,2018,12
DARWIN,MELBOURNE,Dec-18,22380,173,73.2,3131,70071780,95771028,30588,2018,12
DARWIN,PERTH,Dec-18,13885,127,63.5,2651,36809135,57969417,21867,2018,12
DARWIN,SYDNEY,Dec-18,22565,200,64.4,3155,71192575,110557510,35042,2018,12
GERALDTON,PERTH,Dec-18,8776,171,51.3,370,3247120,6327000,17100,2018,12
HOBART,MELBOURNE,Dec-18,159118,1120,77.6,618,98334924,126681966,204987,2018,12
HOBART,SYDNEY,Dec-18,70430,498,81.8,1039,73176770,89497382,86138,2018,12
HAMILTON ISLAND,MELBOURNE,Dec-18,0,0,0,0,0,0,0,2018,12
HAMILTON ISLAND,SYDNEY,Dec-18,19313,163,72.5,1526,29471638,40677056,26656,2018,12
KALGOORLIE,PERTH,Dec-18,22146,297,60,538,11914548,19858656,36912,2018,12
KARRATHA,PERTH,Dec-18,32179,468,60.6,1250,40223750,66421250,53137,2018,12
LAUNCESTON,MELBOURNE,Dec-18,92073,855,76.6,476,43826748,57219960,120210,2018,12
LAUNCESTON,SYDNEY,Dec-18,31547,212,83.1,914,28833958,34715548,37982,2018,12
SUNSHINE COAST,MELBOURNE,Dec-18,47243,333,79.4,1454,68691322,86465018,59467,2018,12
SUNSHINE COAST,SYDNEY,Dec-18,61119,449,80.7,837,51156603,63370944,75712,2018,12
MELBOURNE,MILDURA,Dec-18,18020,363,65.4,457,8235140,12594920,27560,2018,12
MELBOURNE,NEWCASTLE,Dec-18,40863,274,82.6,836,34161468,41376984,49494,2018,12
MELBOURNE,GOLD COAST,Dec-18,184227,1147,85,1330,245538130,288780620,216674,2018,12
MELBOURNE,PERTH,Dec-18,194835,1111,87.3,2706,527223510,603724836,223106,2018,12
MELBOURNE,SYDNEY,Dec-18,746815,4730,87.9,706,529998811,602994652,849885,2018,12
MELBOURNE,TOWNSVILLE,Dec-18,0,0,0,2055,0,0,0,2018,12
GOLD COAST,SYDNEY,Dec-18,239752,1537,87.9,680,163031360,185562480,272886,2018,12
PERTH,PORT HEDLAND,Dec-18,26495,349,60.4,1312,34761440,57581056,43888,2018,12
PERTH,SYDNEY,Dec-18,152244,811,87.7,3284,499969296,570345416,173674,2018,12
PERTH,NEWMAN,Dec-18,22293,310,52.7,1019,22716567,43083320,42280,2018,12
PROSERPINE,SYDNEY,Dec-18,9390,63,82,1517,14244630,17366616,11448,2018,12
PORT MACQUARIE,SYDNEY,Dec-18,15938,319,73.9,321,5116098,6923007,21567,2018,12
BALLINA,SYDNEY,Dec-18,41732,303,84.1,612,25539984,30376008,49634,2018,12
SYDNEY,TAMWORTH,Dec-18,13470,330,64.2,320,4310400,6710080,20969,2018,12
SYDNEY,TOWNSVILLE,Dec-18,16855,113,85.6,1690,28484950,33284550,19695,2018,12
